,Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
5636,Non-Criminal / Damage to Property,1414 E. 59th St. (I-House),5/14/14 11:54 PM,5/14/14 11:54 PM,Elevator door damaged by CFD while freeing a resident from an elevator stuck between floors / Facilities on the scene,Closed,D00441
5637,Theft,5630 S. University (Max Palevsky),5/15/14 12:11 PM,5/15/14 3:00 AM to 9:00 AM,"Unattended, unsecured laptop computer taken from 2nd floor recreation room",Open,D00442
5638,Traffic Crash / Property Damage,5100 S. Cottage Grove,5/14/14 10:42 PM,5/14/14 10:42 PM,UC owned vehicle struck by a vehicle in traffic / CPD case HX262117,CPD,D00443
5639,Possession of Cannabis,4900 S. Drexel,5/16/14 2:36 AM,5/16/14 2:36 AM,"Subsequent to stopping a motorist for a traffic violation, UCPD officer arrested individual for possession of cannabis and driving with a suspended driver's license",Arrest,D00444
5640,Information / Traffic Accident / Property Damage,6049 S. Dorchester,5/16/14 8:28 AM,6/16/14 8:25 AM,UC owned vehicle involved in a property damage accident / No injuries reported / MVA00246,Closed,D00445
5641,Warrant Arrest,1515 E. 57th St.,5/16/14 10:16 AM,5/16/14 10:16 AM,"Subsequent to stopping a traffic violator, UCPD officer arrested the motorist for a warrant from DuPage County, IL",Arrest,D00446
5642,Information / Burglary,Cornell between 53rd & 54th,5/16/14 2:28 PM,5/15/14 to 5/16/14 10:45 AM to 2:15 PM,Unknown person(s) gained entry to off campus private apartment by forcing the rear door / No property reported missing at the time / CPD case,CPD,D00447
5643,Information / Damage to Property,5505 S. Ellis (Ellis Garage),5/16/14 3:32 PM,5/15/14 6:30 AM to 6:30 PM,Debris from overhead on 2nd floor of garage fell on hood of a parked vehicle causing minor damage,Closed,D00448
5644,Burglary,5418 S. Ridgewood Court (Neighborhood Apts.),5/16/14 4:34 PM,5/16/14 8:30 AM to 4:20 PM,Unknown person(s) gained entry to off campus apartment by forcing the rear door / 2 laptop computers and fur coat taken,Open,D00449
5645,Information,1116 E. 59th St. (Harper),5/16/14 8:50 PM,5/16/14 8:50 PM,Two male subjects were observed on University property loitering by bicycle racks / Individuals were issued warning not to trespass on University property,Closed,D00450
5646,Information / Traffic Accident,1000 E. 63rd St.,5/16/14 10:50 PM,5/16/14 10:30 PM,Shuttle bus involved in traffic crash / CPD case HX264648,CPD,D00451
5647,Information / Traffic Crash,4800 S. Lake Park,5/17/14 3:56 PM,5/17/14 3:56 PM,UC owned vehicle was struck by another vehicle while stopped in traffic / Property damage only / CPD case HX265521,CPD,D00452
5648,Liquor Law Violation,5706 S. University (Reynolds Club),5/17/14 4:00 PM,5/17/14 4:00 PM,Underage individual became ill after consuming alcoholic beverages at another location off campus / Transported to ER by CFD EMS,Referred,D00453
5649,Information / Traffic Crash,1101 E. 57th St.,5/17/14 4:58 PM,5/17/14 4:55 PM,UC Shuttle involved in traffic crash / Traffic crash report MVA00248,Closed,D00454
5650,/ Criminal Trespass to VehicleAssist Other Agency,6300 S. Drexel,5/17/14 7:20 PM,5/17/14 7:20 PM,UCPD officer assisted CPD officers while they arrested a subject driving a stolen vehicle / CPD case,CPD,D00455
5651,Liquor Law Violation,1100 E. 57th St. (Regenstein Library),5/17/14 7:52 PM,5/17/14 7:52 PM,"Underage individual became ill after consuming alcoholic beverages, found in 5th floor washroom / Transported to ER by CFD EMS",Referred,D00456
5652,Lost Property,5706 S. University,5/17/14 8:59 PM,5/17/14 3:00 PM to 8:00 PM,Woman reported losing keys somewhere in the area between 55th St. and 57th St.,Closed,D00457
5653,Information,Ellis between 54th & 55th,5/17/14 11:38 PM,5/17/14 10:00 PM to 11:20 PM,Woman reported being sexually assaulted by an acquaintance in an off campus private apartment / Victim declined CPD report and refused to pursue charges,Closed,D00458
5654,Criminal Damage to Property,5640 S. University (Bartlett Commons),5/18/14 1:37 AM,5/18/14 1:37 AM,Unknown person(s) broke glass pane in exterior door,Open,D00459
5655,Liquor Law Violation,5630 S. University (Max Palevsky),5/18/14 7:54 AM,5/18/14 7:54 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER for evaluation and treatment,Referred,D00460
5656,Lost Property,5815 S. Maryland (Mitchell Hospital),5/18/14 1:05 PM,5/18/14 12:45 PM,Woman left iPhone unattended in washroom / Returned to find phone missing,Closed,D00461
5657,Assist Other Agency / Recovered Vehicle,6128 S. Kenwood,5/18/14 3:23 PM,5/18/14 3:23 PM,UCPD officer recovered an unoccupied parked vehicle that had been reported stolen to CPD / CPD case HX218035,CPD,D00462
5658,Armed Robbery,6000 S. University,5/19/14 12:35 AM,5/19/14 12:35 AM,"Three suspects, one armed with a handgun took a cell phone and a wallet from a victim walking on the sidewalk / Suspects arrested by UCPD / Victim's property was recovered",Arrest,D00463
5659,Criminal Trespass to Land,5656 S. Maryland (Construction Site),5/19/14 8:04 AM,5/19/14 11:40 AM to 12:05 PM,Eight individuals were warned several times that they were trespassing on a construction site on private property / Individuals were escorted from the site,Closed,D00464
5660,Void,Void,Void,Void,Number generated in error,Void,Void
5661,Theft,850 E. 58th St. (American School),5/20/14 4:55 PM,5/19/14 10:45 AM to 5:30 PM,Wallet taken from purse left unattended in office,Open,D00466
5662,Information,5758 S. Maryland (DCAM),5/20/14 6:40 PM,5/20/14 3:00 PM to 3:10 PM,Person tripped over mat in 4th floor hallway and fell / Declined medical assistance at this time,Closed,D00467
5663,Information / Burglary,Greenwood between 53rd & 54th,5/20/14 6:59 PM,5/20/14 4:30 PM to 6:30 PM,Unknown person(s) gained entry to off campus private apartment via unsecured window / Took 2 laptops / CPD case,CPD,D00468
5664,Void,Void,Void,Void,Number generated in error,Void,D00469
5665,Traffic Violation,4500 S. Ellis,5/20/14 11:48 PM,5/20/14 11:48 PM,UCPD officer arrested a motorist driving with a revoked driver's license,Arrest,D00470
5666,Information / Robbery,5400 S. Woodlawn,5/21/14 2:28 PM,5/21/14 2:25 PM,Two unknown suspects forcibly took wallet from a victim walking on the sidewalk off campus and fled in a dark blue 4-door vehicle / CPD case HX270613,CPD,D00471
5667,Information,6031 S. Ellis (South Campus Res. Hall),5/21/14 9:08 PM,5/9/14 to 5/20/14 Various,"Report of unwanted, unsolicited phone calls and email messages from an individual",Closed,D00472
5668,Warrant Arrest,6300 S. Ingleside,5/21/14 9:17 PM,5/21/14 9:17 PM,"Subsequent to a traffic stop, UCPD officer arrested a motorist for a warrant from DuPage County, IL",Arrest,D00473
5669,Theft from Motor Vehicle,5840 S. Maryland (Parking Structure),5/22/14 8:26 AM,5/21/14 to 5/22/14 6:40 PM to 7:40 AM,"Unknown person took spare tire from a Toyota Rav 4 parked on the 3rd floor / Unfounded - Victim discovered the theft occurred outside of the UCPD area, not at 5840 S. Maryland",Unfounded,D00474
5670,Information / Indecent Exposure,6257 S. Kenwood (Church Parking Lot),5/22/14 9:10 AM,5/22/14 9:00 AM,Unknown individual exposed himself to a person in a surface parking lot off campus / CPD case HX271640,CPD,D00475
5671,Lost Property,55th to 56th / University to Woodlawn,5/22/14 10:37 AM,5/22/14 8:50 AM to 8:55 AM,Individual reports losing iPhone,Closed,D00476
5672,Fire/Smoke,901 E. 58th St. (Mitchell ER),5/22/14 2:23 PM,5/22/14 2:23 PM,Smoke caused by an overheated blower motor filled entrance to ER / CFD Engine 47 on the scene / No reported injuries or property damage,Closed,D00477
5673,Warrant Arrest,5200 S. Dorchester,5/22/14 3:17 PM,5/22/14 3:17 PM,UCPD officer arrested an individual wanted on a warrant from Cook County,Arrest,D00478
5674,Damage to Vehicle,6054 S. Drexel,5/22/14 7:20 PM,5/22/14 7:20 PM,Small dents observed on hood a UC owned vehicle / Likely from recent hail storm,Closed,D00479
5675,Information / Burglary,University between 61st & 62nd St.,5/23/14 2:47 PM,5/23/14 2:47 PM,UCPD officers detained a suspect who had committed a burglary at an off campus private apartment / Arrested by CPD / CPD case,CPD,D00480
5676,Traffic Violation,5500 S. Payne Dr.,5/24/14 4:08 AM,5/24/14 4:08 AM,UCPD officer arrested a motorist for driving under the influence of intoxicating substance,Arrest,D00481
5677,Recovered Vehicle,1453 E. 55th St.,5/24/14 8:56 AM,5/24/14 8:56 AM,UCPD officer recovered an unattended parked vehicle that had been reported stolen to CPD / CPD case HX253794,CPD,D00482
5678,Liquor Law Violation,1414 E.59th St. (I-House),5/25/14 2:02 AM,5/25/14 2:02 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,D00483
5679,Assist Other Agency / Traffic Crash,59th & Blackstone,5/25/14 6:39 PM,5/25/14 6:39 PM,UCPD officers detained motorist after observing a person being struck by the vehicle at 59th & Cornell Drive / CPD case HX276316,CPD,D00484
5680,Interfering / Obstructing Police,5300 S. Lake Park,5/25/14 10:58 PM,5/25/14 10:58 PM,UCPD officers attempted to interview two individuals who fled from police / One suspect apprehended with a replica firearm turned over to CPD / Second suspect arrested by UCPD,Arrest,D00485
5681,Information,1100 E. 58th St. (Ryerson),5/26/14 2:40 AM,5/26/14 2:40 AM,Seven unauthorized individuals found in 5th floor office / Escorted from building,Referred,D00486
5682,Information / Theft,5030 S. Cornell (Coffee Shop),5/26/14 3:41 PM,5/26/14 2:30 PM to 3:15 PM,Victim reports an unknown person took purse left hanging on the back of a chair in the coffee shop / CPD case HX277249,CPD,D00487
5683,Traffic Accident,5533 S. Ellis,5/27/14 8:25 AM,5/27/14 8:25 AM,"Truck struck a parked UC owned vehicle / Property damage only, no injuries / MVA00252",Closed,D00488
5684,Theft,5530 S. Ellis (Ratner A.C.),5/27/14 12:03 PM,5/22/14 to 5/27/14 11:30 AM to 10:00 AM,Two pouches containing cash taken from unsecured desk,Open,D00489
5685,Theft,6031 S. Ellis (South Campus Res. Hall Bike Rack),5/27/14 12:28 PM,5/17/14 to 5/19/14 6:00 PM to 3:00 PM,Bicycle secured to bike rack taken by an unknown person,Open,D00490
5686,Lost Property,5640 S. University (Bartlett Commons),5/27/14 12:59 PM,5/24/14 6:30 PM to 8:30 PM,Individual reports losing a cell phone,Closed,D00491
5687,Theft,5530 S. Ellis (Ratner A.C.),5/27/14 2:19 PM,5/27/14 11:30 AM to 12:55 PM,Laptop computer and cell phone charger taken from an unsecured locker / Investigation revealed the unattended property was taken by an associate for safekeeping and returned to the owner / Unfounded,Unfounded,D00492
5688,Information / Elevator Entrapment,5706 S. University (Reynolds Club),5/28/14 1:13 AM,5/28/14 1:13 AM,CFD freed contract employee from stuck elevator,Closed,D00493
5689,Theft,970 E. 58th St. (Bookstore),5/28/14 8:40 AM,5/28/14 8:40 AM to 9:05 AM,Subject took several items from bookstore without paying / Arrested by UCPD officer after a brief foot chase,Arrest,D00494
5690,Accidental Injury,5550 S. Greenwood (Smart Museum),5/28/14 1:04 PM,5/28/14 11:55 AM,Child playing in courtyard fell injuring wrist / Parent took custody of child,Closed,D00495
5691,Theft,1100 E. 57th St. (Regenstein Library),5/28/14 3:42 PM,5/28/14 1:40 PM to 1:45 PM,Individual reported bag containing laptop and other items was taken by an unknown person / Complainant located property / Case unfounded,Unfounded,D00496
5692,Criminal Damage to Property,5482 S. Greenwood (Neighborhood Apts),5/28/14 3:23 PM,5/27/14 to 5/28/14 1:00 PM to 8:30 AM,Unknown person pried open mailboxes located in the building lobby,Open,D00497
5693,Traffic Violation / DUI,6000 S. Cottage Grove,5/28/14 11:09 PM,5/28/14 11:09 PM,UCPD officer arrested a motorist for driving under the influence / Charged with Felony DUI,Arrest,D00498
5694,Theft from Motor Vehicle,1353 E. 54th St.,5//29/14 1:20 AM,5/29/14 1:20 AM,UCPD officers arrested an individual for taking property from a vehicle parked on the street / Charged with felony burglary of a motor vehicle,Arrest,D00499
5695,Warrant Arrest,5100 S. University,5/29/14 2:30 PM,5/29/14 2:30 PM,"Subsequent to a traffic stop, UCPD officer arrested a motorist for a warrant from Cook County",Arrest,D00500
5696,Arson by Fire,5730 S. Drexel (Comer Hospital),5/29/14 3:13 PM,5/29/14 3:00 PM,Fire in 1st floor washroom paper towel dispenser extinguished by CFD / Pre-teen child held for psychological examination at hospital / No injuries reported,Ex. Cleared,D00501
5697,Information / Robbery,5115 S. Ellis,5/29/14 9:05 PM,5/29/14 9:05 PM,Unknown suspect took a cell phone from a victim walking on the sidewalk / CPD case,CPD,D00502
5698,Lost Property,924 E. 57th St. (BSLC),5/30/14 11:40 AM,5/22/14 to 5/23/14 8:00 PM to 12:30 PM,Individual reported losing cell phone at the BSLC,Closed,D00503
5699,Battery (Domestic),5815 S. Maryland (Mitchell Hospital),5/30/14 11:53 AM,5/30/14 11:50 AM,Parents of patient involved in a domestic argument that resulted in physical contact by both parties / Both parties refused medical attention and declined to sign complaints,Ex. Cleared,D00504
5700,Lost Property,57th & Ellis to 54th & Ingleside,5/30/14 1:53 PM,5/29/14 7:10 PM to 7:30 PM,Individual reports losing wallet between 57th & Ellis and 54th & Ingleside,Closed,D00505
5701,Burglary,5631 S. Maryland (Construction Site),5/30/14 2:23 PM,5/29/14 to 5/30/14 5:00 PM to 6:00 AM,"Unknown person(s) gained entry to secured construction site, cut locks and took various construction tools and equipment from secured storage containers",Open,D00506
5702,Non-Criminal Damage to Property,970 E. 60th St.,5/30/14 5:00 PM,5/30/14 4:55 PM,Park District riding lawn mower struck parked vehicle causing damage to right side,Closed,D00507
5703,Warrant Arrest,5301 S. Cottage Grove,5/30/14 6:09 PM,5/30/14 6:09 PM,"UCPD officers arrested an individual wanted for probation violation from Cook County, IL",Arrest,D00508
5704,Battery,1554 E. 55th St. (Parking Lot),5/31/14 10:28 PM,5/31/14 10:25 PM,Individuals were involved in a physical altercation off campus / Victim was sprayed with a chemical substance / Suspect arrested by UCPD,Arrest,D00509
5705,Information,5625 S. University (Fraternity House),6/1/14 1:15 PM,6/1/14 1:15 PM,Safety concern of hammock being used on second floor exterior landing / Hammock removed,Closed,D00510
5706,Theft,915 E. 60th St. (Logan Center Bike Rack),6/2/14 12:22 AM,6/1/14 to 6/2/14 10:00 AM to 12:15 AM,Unsecured bicycle taken from bike rack,Open,D00511
5707,Aggravated Battery to Police Officer,901 E. 58th St. (Mitchell ER),6/2/14 12:14 AM,6/2/14 12:14 AM,"Unruly, combative patient physically assaulted a UCPD officer resulting in an injury",Arrest,D00512
5708,Possession of Cannabis,1407 E. 53rd St.,6/2/14 9:24 PM,6/2/14 9:23 PM,"Subsequent to a traffic stop, UCPD officers arrested a passenger for possession of cannabis",Arrest,D00513
5709,Criminal Sexual Assault,1101 E. 56th St. (Max Palevsky),6/2/14 9:27 PM,4/2/14 9:00 PM,Individual provided information to UCPD regarding a sex related incident that occurred with a friend on 4/2/14 / Declined medical examination / Victim declined to pursue prosecution,Ex. Cleared,D00514
5710,Non-Criminal Damage to Vehicle,6054 S. Drexel,6/3/14 11:26 AM,6/2/14 9:25 AM,Minor damage reported on UC owned vehicle,Closed,D00516
5711,Theft,5827 S. University,6/3/14 1:55 PM,6/2/14 8:30 AM to 4:00 PM,Unknown person took a mud guard from a bicycle secured to the bike rack,Open,D00517
5712,Theft,1407 E. 60th St. (CTS),6/3/14 4:26 PM,6/3/14 12:10 PM to 1:05 PM,"Unattended, unsecured laptop taken from desk in unsecured room 222",Open,D00518
5713,Possession of Cannabis,3900 S. Lake Park,6/3/14 10:27 PM,6/3/14 10:27 PM,"Subsequent to a traffic stop UCPD officers arrested a motorist for possession of cannabis / Suspect also found in possession of property taken in a robbery in Bolingbrook, IL / Turned over to Bolingbrook PD",Arrest,D00519
5714,Theft,1100 E. 57th St. (Regenstein Bike Rack),6/4/14 12:34 PM,5/29/14 to 5/30/14 9:00 PM to 8:30 AM,Bicycle secured to bike rack taken by an unknown person,Open,D00520
5715,Information,5751 S. Woodlawn (Seminary Co-Op Bookstore),6/4/14 11:55 AM,6/4/14 11:00 AM,Individual walked out of the store in possession of an item without paying / UCPD officer detained suspect / Suspect transported to hospital by CFD for psychological evaluation / No charges filed,Closed,D00521
5716,Information,1444 E. 57th St.,6/4/14 1:40 PM,6/4/14 12:00 PM,Traffic accident / Property damage only / CPD report HX289500,CPD,D00522
5717,Found Property,6054 S. Drexel,6/4/14 1:47 PM,6/4/14 1:47 PM,CPD officer found back pack of University affiliated person on CTA el train / Property being held for owner at UCPD,Closed,D00524
